iter	Passed	Remaining
0	1	1369
1	2	1331
2	3	1263
3	4	1236
4	6	1216
5	7	1190
6	8	1255
7	10	1255
8	11	1265
9	12	1267
10	14	1264
11	15	1268
12	16	1282
13	18	1289
14	19	1293
15	20	1290
16	22	1292
17	23	1293
18	25	1314
19	27	1335
20	28	1342
21	30	1347
22	31	1354
23	33	1363
24	35	1367
25	36	1367
26	37	1364
27	39	1359
28	40	1364
29	42	1363
30	43	1363
31	44	1357
32	46	1353
33	47	1348
34	49	1351
35	50	1350
36	52	1355
37	53	1358
38	55	1358
39	56	1361
40	58	1359
41	59	1357
42	60	1355
43	62	1351
44	63	1350
45	65	1348
46	66	1346
47	67	1343
48	68	1337
49	70	1336
50	71	1334
51	73	1333
52	74	1333
53	75	1331
54	77	1327
55	78	1324
56	80	1325
57	81	1324
58	83	1325
59	84	1321
60	85	1318
61	86	1314
62	88	1316
63	89	1314
64	91	1312
65	92	1308
66	93	1305
67	95	1302
68	96	1302
69	97	1300
70	99	1297
71	100	1295
72	101	1293
73	103	1291
74	104	1293
75	106	1292
76	107	1292
77	109	1290
78	110	1287
79	112	1289
80	113	1293
81	115	1291
82	116	1287
83	117	1285
84	119	1283
85	120	1283
86	122	1280
87	123	1278
88	124	1277
89	126	1275
90	127	1275
91	129	1278
92	131	1277
93	132	1277
94	134	1277
95	135	1274
96	136	1274
97	138	1272
98	139	1271
99	141	1269
100	142	1269
101	144	1268
102	145	1268
103	147	1267
104	148	1264
105	149	1263
106	151	1261
107	152	1259
108	154	1259
109	155	1259
110	156	1257
111	158	1255
112	159	1254
113	161	1255
114	162	1253
115	164	1252
116	165	1251
117	167	1249
118	168	1249
119	170	1247
120	171	1244
121	172	1243
122	174	1241
123	175	1240
124	177	1239
125	178	1237
126	179	1235
127	181	1233
128	182	1232
129	183	1231
130	185	1230
131	186	1229
132	188	1227
133	189	1226
134	191	1224
135	192	1224
136	194	1224
137	195	1223
138	197	1222
139	198	1220
140	200	1220
141	201	1219
142	203	1217
143	204	1215
144	205	1213
145	207	1211
146	208	1212
147	210	1211
148	211	1209
149	213	1207
150	214	1205
151	215	1204
152	217	1203
153	218	1201
154	220	1199
155	221	1197
156	222	1195
157	224	1194
158	225	1193
159	226	1191
160	228	1189
161	229	1187
162	230	1185
163	232	1184
164	233	1183
165	235	1181
166	236	1180
167	237	1178
168	239	1176
169	240	1176
170	242	1174
171	243	1173
172	245	1171
173	246	1169
174	247	1168
175	249	1168
176	250	1166
177	252	1164
178	253	1162
179	254	1160
180	256	1159
181	257	1158
182	259	1157
183	260	1156
184	262	1155
185	263	1153
186	265	1152
187	266	1150
188	267	1148
189	269	1147
190	270	1145
191	271	1144
192	273	1144
193	275	1145
194	277	1144
195	278	1142
196	280	1142
197	281	1140
198	283	1139
199	284	1137
200	285	1135
201	287	1133
202	288	1133
203	290	1132
204	291	1131
205	293	1130
206	294	1129
207	296	1127
208	297	1126
209	299	1125
210	300	1123
211	301	1122
212	303	1120
213	304	1120
214	306	1119
215	308	1118
216	309	1116
217	310	1114
218	312	1113
219	313	1112
220	315	1110
221	316	1108
222	317	1106
223	318	1104
224	320	1104
225	322	1104
226	324	1103
227	325	1102
228	326	1100
229	328	1099
230	329	1098
231	331	1096
232	332	1094
233	334	1093
234	335	1091
235	336	1089
236	338	1088
237	339	1087
238	341	1086
239	342	1085
240	344	1083
241	345	1083
242	347	1081
243	348	1080
244	350	1079
245	351	1077
246	353	1076
247	354	1075
248	356	1074
249	357	1073
250	359	1071
251	360	1070
252	362	1069
253	363	1068
254	365	1066
255	366	1064
256	367	1063
257	369	1062
258	370	1060
259	372	1059
260	373	1057
261	374	1055
262	376	1054
263	378	1055
264	380	1055
265	381	1053
266	383	1052
267	384	1051
268	386	1049
269	387	1048
270	389	1046
271	390	1044
272	391	1043
273	393	1041
274	394	1040
275	396	1038
276	397	1037
277	398	1035
278	400	1034
279	401	1033
280	403	1031
281	404	1030
282	406	1029
283	407	1027
284	409	1026
285	410	1025
286	412	1024
287	413	1022
288	414	1020
289	416	1019
290	417	1017
291	419	1016
292	420	1014
293	421	1012
294	423	1011
295	424	1009
296	426	1008
297	427	1007
298	428	1005
299	430	1003
300	431	1002
301	432	1000
302	434	1000
303	436	999
304	437	997
305	439	995
306	440	994
307	441	992
308	443	991
309	444	990
310	446	988
311	447	986
312	449	985
313	450	984
314	452	983
315	453	981
316	454	980
317	456	978
318	457	977
319	459	975
320	460	974
321	462	972
322	463	971
323	465	970
324	466	968
325	467	966
326	468	965
327	470	963
328	471	962
329	473	961
330	474	960
331	476	958
332	477	956
333	479	955
334	480	954
335	482	952
336	483	951
337	484	949
338	486	947
339	487	946
340	488	944
341	490	943
342	491	941
343	492	939
344	494	938
345	495	936
346	496	934
347	498	933
348	499	931
349	500	929
350	502	928
351	503	927
352	505	925
353	506	924
354	507	922
355	509	920
356	510	919
357	511	918
358	513	916
359	514	915
360	516	913
361	517	912
362	519	910
363	520	909
364	522	908
365	523	906
366	524	905
367	526	903
368	527	902
369	529	901
370	530	899
371	532	898
372	533	897
373	535	895
374	536	894
375	538	892
376	539	891
377	540	890
378	542	888
379	543	887
380	545	885
381	546	884
382	548	882
383	549	881
384	550	879
385	552	878
386	553	876
387	555	875
388	556	874
389	557	872
390	559	870
391	560	869
392	562	868
393	563	866
394	564	865
395	566	863
396	567	861
397	568	860
398	570	859
399	571	857
400	573	855
401	574	854
402	575	852
403	577	851
404	579	851
405	581	850
406	583	849
407	584	848
408	586	847
409	587	845
410	589	844
411	590	842
412	592	841
413	593	840
414	595	839
415	596	837
416	598	836
417	599	834
418	600	833
419	602	831
420	603	830
421	604	828
422	606	827
423	607	825
424	609	824
425	610	822
426	611	821
427	613	819
428	614	817
429	615	816
430	617	815
431	619	814
432	620	812
433	621	811
434	623	809
435	624	808
436	626	807
437	627	805
438	629	804
439	630	802
440	631	800
441	633	799
442	634	798
443	636	796
444	637	794
445	638	793
446	639	791
447	641	790
448	643	789
449	644	788
450	646	786
451	647	785
452	649	784
453	650	782
454	652	780
455	653	779
456	654	777
457	656	776
458	657	775
459	659	774
460	661	772
461	662	771
462	663	769
463	665	768
464	668	769
465	669	767
466	671	766
467	672	764
468	674	763
469	675	761
470	676	760
471	678	758
472	679	757
473	681	755
474	682	754
475	684	753
476	685	751
477	687	750
478	688	748
479	690	747
480	691	746
481	692	744
482	694	743
483	695	741
484	697	740
485	698	738
486	699	737
487	701	735
488	702	734
489	704	732
490	705	731
491	707	730
492	709	729
493	710	727
494	712	726
495	713	725
496	715	723
497	716	722
498	717	720
499	719	719
500	720	717
501	722	716
502	723	715
503	725	713
504	726	712
505	728	711
506	729	709
507	731	708
508	732	707
509	734	705
510	735	704
511	737	702
512	739	701
513	740	700
514	742	699
515	743	697
516	745	696
517	746	694
518	748	693
519	749	692
520	751	690
521	752	689
522	754	687
523	755	686
524	756	684
525	758	683
526	759	681
527	760	680
528	762	678
529	763	677
530	765	675
531	766	674
532	767	672
533	769	671
534	770	669
535	772	668
536	773	666
537	774	665
538	776	663
539	777	662
540	778	660
541	780	659
542	781	657
543	783	656
544	784	655
545	786	653
546	787	652
547	788	650
548	789	648
549	791	647
550	792	645
551	794	644
552	795	643
553	796	641
554	798	640
555	799	638
556	801	637
557	802	635
558	803	634
559	805	632
560	806	631
561	807	629
562	809	628
563	810	626
564	812	625
565	813	623
566	814	622
567	816	620
568	817	619
569	819	618
570	820	616
571	821	615
572	823	613
573	824	612
574	826	610
575	827	609
576	829	607
577	830	606
578	831	604
579	833	603
580	835	602
581	837	601
582	838	599
583	840	598
584	841	597
585	842	595
586	844	594
587	845	592
588	846	590
589	848	589
590	849	588
591	851	586
592	852	585
593	853	583
594	855	582
595	856	580
596	857	579
597	859	577
598	860	576
599	861	574
600	863	573
601	865	571
602	866	570
603	868	569
604	870	568
605	871	566
606	873	565
607	874	564
608	876	562
609	877	561
610	879	559
611	880	558
612	882	557
613	884	555
614	885	554
615	887	553
616	888	551
617	889	550
618	891	548
619	892	546
620	893	545
621	894	543
622	896	542
623	898	541
624	899	539
625	900	538
626	901	536
627	903	535
628	904	533
629	906	532
630	907	530
631	909	529
632	910	527
633	911	526
634	913	525
635	914	523
636	916	522
637	917	520
638	919	519
639	920	517
640	921	516
641	923	514
642	924	513
643	926	511
644	927	510
645	928	508
646	930	507
647	931	506
648	933	504
649	934	503
650	935	501
651	937	500
652	938	498
653	940	497
654	941	495
655	942	494
656	943	492
657	945	491
658	946	489
659	948	488
660	949	486
661	950	485
662	952	484
663	953	482
664	955	481
665	956	479
666	958	478
667	959	476
668	961	475
669	962	474
670	964	472
671	965	471
672	967	469
673	968	468
674	970	467
675	971	465
676	973	464
677	974	462
678	975	461
679	977	460
680	979	458
681	980	457
682	981	455
683	983	454
684	983	452
685	985	451
686	986	449
687	988	448
688	989	446
689	990	445
690	992	443
691	993	442
692	995	440
693	996	439
694	998	438
695	999	436
696	1001	435
697	1002	433
698	1004	432
699	1005	430
700	1006	429
701	1008	427
702	1009	426
703	1011	425
704	1012	423
705	1014	422
706	1015	420
707	1017	419
708	1018	418
709	1019	416
710	1021	415
711	1022	413
712	1024	412
713	1025	410
714	1027	409
715	1029	408
716	1030	406
717	1031	405
718	1033	403
719	1034	402
720	1036	400
721	1037	399
722	1038	397
723	1040	396
724	1041	395
725	1042	393
726	1044	392
727	1045	390
728	1046	389
729	1048	387
730	1049	386
731	1051	384
